name,code,treatment,status,wet_foliage,wet_uso,num_tubers,dry_foliage,dry_uso
Eryngium ovinum,EO28,Spring,alive,9.37,17.43,24,1.27,3.07
Eryngium ovinum,EO18,Spring,alive,9.26,15.58,21,1.39,2.91
Eryngium ovinum,EO5,Spring,alive,5.71,8.36,15,0.73,1.71
Eryngium ovinum,EO23,Spring,alive,4.36,8.61,,0.52,1.34
Eryngium ovinum,EO10,Spring,dead,,,,,
Eryngium ovinum,EO3,Spring,alive,13.75,20.98,31,2.11,3.56
Eryngium ovinum,EO19,Spring,alive,6.64,8.11,22,1.15,1.55
Eryngium ovinum,EO7,Spring,alive,8.65,14.85,19,1.18,3.07
Eryngium ovinum,EO13,Spring,alive,4.56,9.29,18,0.63,1.71
Eryngium ovinum,EO21,Spring,alive,13.24,21.13,33,2.23,3.75
Eryngium ovinum,EO12,Summer,alive,7.99,10.06,15,1.05,1.78
Eryngium ovinum,EO11,Summer,alive,15.51,19.72,41,2.44,4.03
Eryngium ovinum,EO20,Summer,alive,6.41,21.86,37,0.99,3.86
Eryngium ovinum,EO26,Summer,alive,9.88,21.92,31,1.74,4.45
Eryngium ovinum,EO29,Summer,alive,10.16,23.78,25,1.77,4.29
Eryngium ovinum,EO17,Summer,alive,13.82,25.48,32,2.34,5.05
Eryngium ovinum,EO30,Summer,alive,12.58,22.87,31,2.24,4.24
Eryngium ovinum,EO22,Summer,alive,9.7,17.17,34,1.35,3.19
Eryngium ovinum,EO15,Summer,alive,21.28,43.22,38,3.3,7.92
Eryngium ovinum,EO16,Summer,alive,,8.96,10,,1.56
Eryngium ovinum,EO9,Baseline,alive,,1.59,10,,0.22
Eryngium ovinum,EO2,Baseline,alive,,0.75,8,,0.13
Eryngium ovinum,EO1,Baseline,alive,,1.07,5,,0.25
Eryngium ovinum,EO6,Baseline,alive,,1.03,8,,0.19
Eryngium ovinum,EO24,Baseline,alive,,2.03,10,,0.44
Eryngium ovinum,EO27,Baseline,alive,,1.22,9,,0.2
Eryngium ovinum,EO14,Baseline,alive,,1.51,8,,0.24
Eryngium ovinum,EO4,Baseline,alive,,1.3,8,,0.22
Eryngium ovinum,EO8,Baseline,alive,,0.86,8,,0.15
Eryngium ovinum,EO25,Baseline,alive,,1.01,6,,0.12
Bulbine bulbosa,BB17,Spring,alive,0.27,3.32,3,0.05,0.41
Bulbine bulbosa,BB7,Spring,alive,4.59,8.51,10,0.3,1.03
Bulbine bulbosa,BB12,Spring,alive,2.78,6.43,3,0.22,0.94
Bulbine bulbosa,BB28,Spring,alive,0.59,0.43,3,0.05,0.04
Bulbine bulbosa,BB24,Spring,alive,0.43,5.87,1,0.06,0.26
Bulbine bulbosa,BB10,Spring,alive,9.29,15.59,16,0.72,2.3
Bulbine bulbosa,BB9,Spring,alive,1.61,5.42,12,0.14,0.68
Bulbine bulbosa,BB25,Spring,alive,1.71,9.69,8,0.12,1.06
Bulbine bulbosa,BB20,Spring,alive,1.14,7.69,1,0.1,0.66
Bulbine bulbosa,BB22,Spring,alive,3.58,10.77,18,0.24,1.24
Bulbine bulbosa,BB15,Summer,alive,1.13,3.55,6,0.09,0.39
Bulbine bulbosa,BB8,Summer,alive,6.49,8.6,13,0.39,1.24
Bulbine bulbosa,BB11,Summer,alive,11.97,13.3,9,0.77,1.86
Bulbine bulbosa,BB30,Summer,alive,5.79,6.32,10,0.48,0.71
Bulbine bulbosa,BB21,Summer,alive,1.41,4.42,4,0.1,0.38
Bulbine bulbosa,BB2,Summer,dead,,,,,
Bulbine bulbosa,BB23,Summer,dead,,,,,
Bulbine bulbosa,BB13,Summer,alive,4.24,6.72,5,0.33,0.97
Bulbine bulbosa,BB18,Summer,alive,0.92,5.85,2,0.11,0.91
Bulbine bulbosa,BB5,Summer,alive,5.83,11.4,9,0.45,1.99
Bulbine bulbosa,BB4,Baseline,alive,,7.46,14,,1.83
Bulbine bulbosa,BB19,Baseline,alive,,10.77,19,,2.48
Bulbine bulbosa,BB14,Baseline,alive,,5.64,10,,1.34
Bulbine bulbosa,BB16,Baseline,alive,,5.13,12,,1.15
Bulbine bulbosa,BB1,Baseline,alive,,4.13,10,,0.94
Bulbine bulbosa,BB3,Baseline,alive,,6.71,16,,1.59
Bulbine bulbosa,BB27,Baseline,alive,,2.63,9,,0.64
Bulbine bulbosa,BB29,Baseline,alive,,4.34,12,,1.01
Bulbine bulbosa,BB6,Baseline,alive,,6.79,17,,1.3
Bulbine bulbosa,BB26,Baseline,alive,,6.68,7,,1.5
Burchardia umberllata,BU20,Spring,alive,0.43,3.06,7,0.08,0.41
Burchardia umberllata,BU21,Spring,alive,0.88,5.57,16,0.14,0.79
Burchardia umberllata,BU5,Spring,dead,,,,,
Burchardia umberllata,BU28,Spring,alive,1.3,5.21,9,0.2,0.65
Burchardia umberllata,BU22,Spring,alive,2.78,9.78,21,0.4,1.55
Burchardia umberllata,BU9,Spring,alive,2.13,6.09,9,0.33,0.79
Burchardia umberllata,BU25,Spring,dead,,,,,
Burchardia umberllata,BU4,Spring,dead,,,,,
Burchardia umberllata,BU27,Spring,alive,0.21,0.59,5,0.04,0.08
Burchardia umberllata,BU3,Spring,alive,1.71,7.08,12,0.29,1.11
Burchardia umberllata,BU29,Summer,alive,0.85,5.33,11,0.16,0.96
Burchardia umberllata,BU26,Summer,alive,0.91,5.29,11,0.16,0.88
Burchardia umberllata,BU15,Summer,alive,0.93,2.8,9,0.15,0.31
Burchardia umberllata,BU8,Summer,alive,0.06,0.4,2,0,0.05
Burchardia umberllata,BU24,Summer,alive,0.73,2.96,9,0.11,0.5
Burchardia umberllata,BU7,Summer,alive,1.44,8.29,14,0.24,1.35
Burchardia umberllata,BU16,Summer,dead,,,,,
Burchardia umberllata,BU14,Summer,alive,1.41,5.1,11,0.24,0.96
Burchardia umberllata,BU10,Summer,alive,0.43,1.56,6,0.07,0.24
Burchardia umberllata,BU1,Summer,alive,0.86,2.32,7,0.13,0.41
Burchardia umberllata,BU13,Baseline,alive,,1.95,6,,0.28
Burchardia umberllata,BU18,Baseline,alive,,2.43,7,,0.36
Burchardia umberllata,BU19,Baseline,alive,,5.38,17,,0.71
Burchardia umberllata,BU23,Baseline,alive,,3.69,9,,0.64
Burchardia umberllata,BU6,Baseline,alive,,3.09,10,,0.59
Burchardia umberllata,BU17,Baseline,alive,,5.08,14,,0.74
Burchardia umberllata,BU30,Baseline,alive,,4.95,13,,0.62
Burchardia umberllata,BU11,Baseline,alive,,6.73,11,,1.3
Burchardia umberllata,BU12,Baseline,alive,,2.06,7,,0.33
Burchardia umberllata,BU2,Baseline,alive,,3.46,9,,0.57
Arthropodium strictum,AS27,Spring,alive,7.01,32.84,55,1.05,4.51
Arthropodium strictum,AS29,Spring,alive,13.76,45.31,,1.98,7.83
Arthropodium strictum,AS23,Spring,alive,3.03,14.66,12,0.49,1.93
Arthropodium strictum,AS17,Spring,alive,7.51,9.36,6,1.44,1.66
Arthropodium strictum,AS24,Spring,alive,3.98,10.64,,0.67,1.16
Arthropodium strictum,AS4,Spring,alive,11.86,24.67,,1.83,4.27
Arthropodium strictum,AS12,Spring,alive,7.83,18.58,,1.08,2.14
Arthropodium strictum,AS1,Spring,alive,3.92,14.45,20,0.67,1.93
Arthropodium strictum,AS5,Spring,alive,8.89,15.69,17,1.49,2.64
Arthropodium strictum,AS9,Spring,alive,6.03,19.28,,0.9,2.07
Arthropodium strictum,AS8,Summer,alive,7.78,28.64,,1.12,4.19
Arthropodium strictum,AS13,Summer,alive,8.84,42.33,,1.51,6.36
Arthropodium strictum,AS18,Summer,alive,5.74,28.72,,0.88,4.32
Arthropodium strictum,AS7,Summer,alive,25.64,34.69,,5.34,7.24
Arthropodium strictum,AS20,Summer,alive,4.17,19.84,,0.64,2.58
Arthropodium strictum,AS25,Summer,alive,11.04,24.48,,1.73,4.47
Arthropodium strictum,AS14,Summer,alive,5.38,24.2,,0.84,4.14
Arthropodium strictum,AS30,Summer,alive,10.39,21.6,,1.74,3.75
Arthropodium strictum,AS6,Summer,alive,3.47,19.81,,0.53,2.58
Arthropodium strictum,AS26,Summer,alive,7.03,29.87,,1.06,4.76
Arthropodium strictum,AS11,Baseline,alive,,2.43,10,,0.37
Arthropodium strictum,AS2,Baseline,alive,,3.71,25,,0.8
Arthropodium strictum,AS15,Baseline,alive,,3.52,14,,0.72
Arthropodium strictum,AS16,Baseline,alive,,3.65,19,,0.69
Arthropodium strictum,AS10,Baseline,alive,,1.32,14,,0.25
Arthropodium strictum,AS21,Baseline,alive,,3.4,17,,0.53
Arthropodium strictum,AS3,Baseline,alive,,9.29,22,,2.28
Arthropodium strictum,AS28,Baseline,alive,,1.48,12,,0.37
Arthropodium strictum,AS19,Baseline,alive,,2.98,23,,0.74
Arthropodium strictum,AS22,Baseline,alive,,4.49,24,,1.04
Microseris walterii,MW2,Spring,alive,27.56,32.09,,3.24,5.77
Microseris walterii,MW10,Spring,alive,,,,,
Microseris walterii,MW1,Spring,alive,,,,,
Microseris walterii,MW24,Spring,alive,,,,,
Microseris walterii,MW5,Spring,alive,,,,,
Microseris walterii,MW18,Spring,alive,,,,,
Microseris walterii,MW20,Spring,alive,,,,,
Microseris walterii,MW9,Spring,alive,,,,,
Microseris walterii,MW17,Spring,alive,,,,,
Microseris walterii,MW16,Spring,alive,,,,,
Microseris walterii,MW3,Summer,alive,,,,,
Microseris walterii,MW26,Summer,alive,,,,,
Microseris walterii,MW30,Summer,alive,,,,,
Microseris walterii,MW8,Summer,alive,,,,,
Microseris walterii,MW13,Summer,alive,,,,,
Microseris walterii,MW11,Summer,alive,,,,,
Microseris walterii,MW19,Summer,alive,3.68,12.51,,0.4,1.02
Microseris walterii,MW14,Summer,alive,,,,,
Microseris walterii,MW4,Summer,alive,,,,,
Microseris walterii,MW7,Summer,alive,,,,,
Microseris walterii,MW6,Baseline,alive,,1.89,8,,0.25
Microseris walterii,MW21,Baseline,alive,,2.36,3,,0.34
Microseris walterii,MW22,Baseline,alive,,1.5,5,,0.17
Microseris walterii,MW25,Baseline,alive,,1.45,7,,0.15
Microseris walterii,MW27,Baseline,alive,,4.88,11,,0.74
Microseris walterii,MW12,Baseline,alive,,2.67,10,,0.4
Microseris walterii,MW15,Baseline,alive,,2.22,7,,0.26
Microseris walterii,MW29,Baseline,alive,,0.92,5,,0.06
Microseris walterii,MW28,Baseline,alive,,3.06,10,,0.43
Microseris walterii,MW23,Baseline,alive,,1.12,2,,0.16